Disease_Tag,Patient_Input_English,Patient_Input_Hindi,Patient_Input_Marathi,Core_Symptom,Target_Department,Urgency_Level
Common Cold,My nose is running and I keep sneezing,मेरी नाक बह रही है और मुझे लगातार छींक आ रही है,माझे नाक गळत आहे आणि सतत शिंका येत आहेत,sneezing,Infectious Diseases,Basic Care
Influenza,My whole body aches and I have a fever,मेरे पूरे शरीर में दर्द है और बुखार है,माझ्या पूर्ण अंगामध्ये दुखत आहे आणि ताप आहे,body ache,Infectious Diseases,Basic Care
Diabetes,I feel thirsty all the time and pee frequently,मुझे हर समय प्यास लगती है और बार-बार पेशाब आता है,मला सतत तहान लागते आणि वारंवार लघवीला जावे लागते,thirsty,Endocrinology,Specialized Care
Asthma,I am wheezing and it is hard to catch my breath,मुझे सांस लेने में दिक्कत हो रही है और सीटी की आवाज़ आ रही है,मला श्वास घेताना त्रास होत आहे आणि छातीतून आवाज येत आहे,wheezing,Pulmonology,Emergency
GERD,My chest is burning after I eat,खाना खाने के बाद मेरे सीने में जलन होती है,जेवल्यानंतर माझ्या छातीत जळजळ होते,heartburn,Gastroenterology,Basic Care
Peptic Ulcer,My stomach burns and I feel sick,मेरे पेट में जलन होती है और उल्टी जैसा लगता है,माझ्या पोटात जळजळ होते आणि मळमळते,stomach burn,Gastroenterology,Specialized Care
Migraine,I have a terrible headache and light hurts my eyes,मेरे सिर में भयंकर दर्द है और रोशनी चुभ रही है,माझे डोके भयंकर दुखत आहे आणि प्रकाश डोळ्यांना लागतो,severe headache,Neurology,Specialized Care
Heart Failure,My legs are swollen and I get breathless easily,मेरे पैरों में सूजन है और जल्दी सांस फूल जाती है,माझ्या पायांवर सूज आहे आणि लगेच धाप लागते,breathless,Cardiology,Emergency
Hypothyroidism,I am gaining weight and feel cold all the time,मेरा वजन बढ़ रहा है और हमेशा ठंड लगती है,माझे वजन वाढत आहे आणि सतत थंडी वाजते,weight gain,Endocrinology,Specialized Care
Parkinsons,My hands are shaking and my body feels stiff,मेरे हाथ कांप रहे हैं और शरीर में अकड़न है,माझे हात थरथरत आहेत आणि शरीर आखडले आहे,shaking,Neurology,Specialized Care
IBS,My stomach hurts and I am bloated,मेरे पेट में दर्द है और गैस बन रही है,माझ्या पोटात दुखत आहे आणि गॅस झाला आहे,bloated,Gastroenterology,Basic Care
Eczema,My skin is extremely dry and itchy,मेरी त्वचा बहुत सूखी है और खुजली हो रही है,माझी त्वचा खूप कोरडी आहे आणि खाज सुटत आहे,dry skin,Dermatology,Basic Care
Osteoarthritis,My knee joints are stiff and hurt when I walk,चलते समय मेरे घुटनों में अकड़न और दर्द होता है,चालताना माझ्या गुडघ्यांमध्ये आखडलेपणा आणि वेदना होतात,joint stiffness,Orthopedics,Specialized Care
Depression,I feel sad all the time and cannot sleep,मैं हर समय उदास रहता हूं और नींद नहीं आती,मला सतत उदास वाटते आणि झोप येत नाही,sadness,Psychiatry,Specialized Care
Sinusitis,My face hurts and my nose is completely blocked,मेरे चेहरे पर दर्द है और नाक पूरी तरह बंद है,माझा चेहरा दुखत आहे आणि नाक पूर्णपणे बंद आहे,blocked nose,ENT,Basic Care
Conjunctivitis,My eyes are super red and have sticky discharge,मेरी आँखें लाल हो गई हैं और कीचड़ आ रहा है,माझे डोळे लाल झाले आहेत आणि त्यातून घाण येत आहे,red eyes,Ophthalmology,Basic Care
Kidney Stones,I have extreme pain in my lower back side,मेरी पीठ के निचले हिस्से में बहुत तेज दर्द है,माझ्या पाठीच्या खालच्या भागात खूप तीव्र वेदना होत आहेत,flank pain,Nephrology,Emergency
UTI,It burns really badly when I pee,मुझे पेशाब करते समय बहुत जलन होती है,मला लघवी करताना खूप जळजळ होते,burning urination,Urology,Specialized Care
Dengue,I have a high fever and my joints hurt terribly,मुझे तेज बुखार है और जोड़ों में भयंकर दर्द है,मला खूप ताप आहे आणि सांध्यांमध्ये भयंकर वेदना आहेत,high fever,Infectious Diseases,Emergency
Tuberculosis,I have been coughing for weeks and losing weight,मुझे हफ्तों से खांसी है और वजन कम हो रहा है,मला अनेक आठवड्यांपासून खोकला आहे आणि वजन कमी होत आहे,persistent cough,Pulmonology,Specialized Care
PCOS,My periods are irregular and I have acne,मेरे पीरियड्स समय पर नहीं आते और मुंहासे हैं,माझी पाळी वेळेवर येत नाही आणि चेहऱ्यावर मुरुमे आहेत,irregular periods,Gynecology,Specialized Care
Food Poisoning,I am vomiting and have bad stomach cramps,मुझे उल्टी हो रही है और पेट में मरोड़ है,मला उलट्या होत आहेत आणि पोटात पेटके येत आहेत,cramps,Gastroenterology,Specialized Care
Appendicitis,I have sharp pain in the lower right side of my stomach,मेरे पेट के निचले दाहिने हिस्से में तेज दर्द है,माझ्या पोटाच्या उजव्या बाजूला खाली खूप दुखत आहे,lower right pain,Gastroenterology,Emergency
Heart Attack,My chest hurts badly and I am sweating profusely,मेरे सीने में बहुत दर्द है और खूब पसीना आ रहा है,माझ्या छातीत खूप दुखत आहे आणि खूप घाम येत आहे,chest pain,Cardiology,Emergency
Stroke,Half of my face is drooping and my speech is slurred,मेरा आधा चेहरा लटक गया है और आवाज लड़खड़ा रही है,माझा अर्धा चेहरा वाकडा झाला आहे आणि बोलता येत नाही,facial drooping,Neurology,Emergency
Dandruff,My scalp is very flaky and itches,मेरे सिर में बहुत रूसी है और खुजली होती है,माझ्या डोक्यात खूप कोंडा झाला आहे आणि खाज येते,flaky scalp,Dermatology,Basic Care
Cataract,My vision is getting blurry and sensitive to glare,मुझे धुंधला दिख रहा है और रोशनी से परेशानी है,मला अंधुक दिसत आहे आणि प्रकाशाचा त्रास होतो,blurry vision,Ophthalmology,Specialized Care
